validation_accuracy,validation_f1
0.9871565188867301,0.6696428571428571
0.9898059599808231,0.7566371681415929
0.988897580177134,0.7368421052631579
0.9885947869092377,0.7444668008048289
0.9897050288915243,0.7577092511013215
0.9908657364184603,0.7853881278538812
0.989654563346875,0.7393162393162394
0.9909414347354344,0.7727272727272728
0.99005828770407,0.7806004618937645
0.9901592187933689,0.7839643652561248
0.9882667608690167,0.7309236947791165
0.9910171330524085,0.806378132118451
0.989149907900381,0.7604395604395605
0.9895031667129267,0.762749445676275
0.989074209583407,0.755939524838013
0.9888723474048093,0.760914760914761
0.9902601498826676,0.7723214285714286
0.9910423658247332,0.7850877192982456
0.9904872448335899,0.7936507936507937
0.9905629431505639,0.7775280898876405
0.9917488834498246,0.7794432548179872
0.9892003734450304,0.7526427061310783
0.9907900381014862,0.7612903225806452
0.9894527011682773,0.7658643326039388
0.9889228129494587,0.7468354430379747
0.9905377103782392,0.7868131868131868
0.9897050288915243,0.7739130434782608
0.9901339860210441,0.7708779443254818
0.9908657364184603,0.7860465116279071
0.9903863137442911,0.7743362831858406
0.99005828770407,0.7682119205298013
0.9896040978022256,0.7580299785867238
0.9909414347354344,0.7919463087248322
0.9904872448335899,0.7822222222222223
0.9906134086952133,0.7850877192982456
0.9906134086952133,0.7850877192982456
0.9908152708738109,0.7797356828193833
0.9907395725568369,0.7831858407079646
0.9907395725568369,0.7831858407079646
0.9907395725568369,0.7831858407079646
