validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9990087174553194,0.9180327868852459,0.9180327868852459
0.9992128050380478,0.9016393442622951,0.9016393442622951
0.998950406717397,0.8682170542635659,0.8682170542635659
0.9993585818828538,0.9421487603305785,0.9421487603305785
0.9994168926207762,0.9508196721311476,0.9508196721311476
0.999387737251815,0.9344262295081968,0.9344262295081968
0.9991544943001254,0.9032258064516129,0.9032258064516129
0.9992711157759702,0.943089430894309,0.943089430894309
0.9993585818828538,0.9344262295081968,0.9344262295081968
0.999387737251815,0.9586776859504132,0.9586776859504132
0.9993585818828538,0.9516129032258065,0.9516129032258065
0.9994168926207762,0.959349593495935,0.959349593495935
0.9993002711449314,0.912,0.912
0.9993585818828538,0.9268292682926829,0.9268292682926829
