validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9901417998983109,0.5995316159250585,0.5995316159250585
0.9912151855827355,0.7092198581560284,0.7092198581560284
0.9916671374498616,0.7630922693266834,0.7630922693266834
0.9918366194000339,0.7531806615776081,0.7531806615776081
0.9922038302920739,0.7746835443037975,0.7746835443037975
0.9923168182588554,0.7909319899244331,0.7909319899244331
0.9924863002090277,0.8020304568527918,0.8020304568527918
0.9922603242754646,0.8030303030303031,0.8030303030303031
0.9922320772837693,0.8040712468193384,0.8040712468193384
0.9925145472007231,0.8,0.8
