train_loss_values,validation_loss_values
0.22224879649267373,0.05374228247069368
0.01068238622335098,0.07755224108253535
0.020126849116015262,0.07940885389850326
0.0034805177837207114,0.08197069397909279
0.01460110435375097,0.08972334249031891
0.0019773570094065857,0.09847327538819234
0.010530307582915403,0.09843739044350225
0.001873119838849936,0.09621554005030672
0.009756098705765664,0.08842510950921162
0.0009376349194846207,0.09141610762319435
0.010035140310750113,0.08850734956666108
0.0006194608522112807,0.09142424921977398
