validation_accuracy,validation_f1
0.9811962392478496,0.44160583941605835
0.9867116280398937,0.4792013311148086
0.9889406452719115,0.575091575091575
0.9895407652959163,0.5748031496062992
0.9893407252879147,0.5924528301886792
0.9905981196239247,0.6194029850746269
0.9891406852799132,0.6471734892787525
0.9880547538079044,0.5977859778597787
0.9901408853199212,0.6221374045801527
0.9897693824479181,0.64376130198915
0.9889120681279113,0.6091954022988505
0.9910553539279284,0.6303501945525293
0.990998199639928,0.6540642722117203
0.9902837710399223,0.624031007751938
0.9910839310719287,0.6615969581749049
0.9901408853199212,0.6392857142857143
0.9910267767839283,0.6626746506986028
0.9915125882319321,0.6666666666666666
0.9918555139599349,0.6888454011741683
0.9903980796159232,0.6654135338345865
0.990741005343926,0.6483516483516483
0.9915125882319321,0.6679316888045541
0.9912839710799303,0.6885880077369438
0.9916840510959335,0.689922480620155
0.9911410853599292,0.6627680311890838
0.9910267767839283,0.6756756756756757
0.9907124281999257,0.6691312384473198
0.9914840110879318,0.7002012072434608
0.9906552739119252,0.6715867158671587
0.9912553939359301,0.6679764243614931
0.9917983596719344,0.6871401151631478
0.9903695024719229,0.6666666666666666
0.9913125482239304,0.6603415559772297
0.990883891063927,0.6629213483146067
0.9915983196639327,0.6744639376218324
0.991626896807933,0.68359375
0.9915125882319321,0.6783625730994152
0.9918269368159346,0.6810176125244618
0.991741205383934,0.6705202312138728
0.9917126282399337,0.6705426356589147
