train_loss_values,validation_loss_values
0.11022637490119531,0.0027006086971100144
0.01059414585235519,0.0024304307703873333
0.008712907738057562,0.002031792175247657
0.0020575045093842626,0.002546930624041786
0.0038918309390578555,0.0027775631062716207
0.0006835254163757091,0.0025767102360263875
0.002154489959405873,0.0027147568821161176
0.000676187037587202,0.002771981126856686
0.0006528380913000957,0.002663657817826313
0.0008482024530921743,0.002518744588712707
0.0035600624747640134,0.0031579870004828144
0.0004965918921792252,0.0032816193737736717
0.0025141384835164664,0.002902375694161337
7.444936807277787e-05,0.00278071079267115
