train_loss_values,validation_loss_values
0.32855795440007785,0.952749175612222
0.06325184398288831,0.18231310484803875
0.04843098687841509,0.04824369326260322
0.023107469768118154,0.04077391938996946
0.020045320843004127,0.037020697145800856
0.009920637040248141,0.03817856407460402
0.010147852368336546,0.03907933661966209
0.0043542793501906065,0.039949424665875005
0.004823992913673539,0.03950448866817169
0.0020833585474419975,0.039612120427756796
0.003007062438911313,0.03976489962674763
0.001145782248879598,0.04130268961778876
0.0016124200748716408,0.04248470766819165
0.0007966406626071646,0.044402990079995354
