validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9920108098978127,0.6236559139784945,0.6236559139784945
0.9930073473524196,0.702576112412178,0.702576112412178
0.9930580187484165,0.7028301886792453,0.7028301886792453
0.9938011992230386,0.781725888324873,0.781725888324873
0.9940038848070264,0.7723785166240409,0.7723785166240409
0.9940207752723588,0.8020833333333333,0.8020833333333333
0.9938349801537032,0.8041237113402062,0.8041237113402062
0.9939194324803649,0.7999999999999999,0.7999999999999999
0.9938011992230386,0.8115183246073299,0.8115183246073299
0.9938856515497002,0.8136482939632546,0.8136482939632546
0.9939363229456971,0.7958115183246073,0.7958115183246073
0.9938011992230386,0.8052631578947369,0.8052631578947369
0.9935647327083861,0.7905759162303664,0.7905759162303664
0.9938518706190356,0.7896103896103897,0.7896103896103897
