train_loss_values,validation_loss_values
0.28047360613759653,1.3189661062576554
0.03478069030507244,0.609419606287371
0.023775747170652693,0.06695368433826264
0.009821206937497051,0.04829787480279761
0.008365163593900559,0.037102336982736066
0.004327513680007816,0.03638587807720548
0.004090764475562732,0.03876482113661372
0.002544661848799095,0.0387549790165477
0.0027257162287213353,0.03871547508267461
0.0010107701409308575,0.03927061766650943
0.0019163450855838324,0.0389487013461059
0.000817983715642214,0.04217799232504727
0.0009655583472556587,0.04552858793722821
0.0005409422816820501,0.043495963624619355
