train_loss_values,validation_loss_values
0.11617646077283968,0.007475084995596923
0.005466308679594839,0.004641367650699315
0.0053788043203625265,0.0025888271075845378
0.00184169428752495,0.0025897050691128243
0.0036436312796185996,0.0027759246794299875
0.0006892206121501224,0.0024561233209913717
0.004532556038144695,0.0025641696170995683
0.0002208871799523408,0.0025719772488318167
0.0016133692454603182,0.0022248401657624195
0.0019950488971601935,0.0020436719115650703
0.001226678124079706,0.002150558233030221
0.00014866459897240806,0.002420573694968973
0.0014439761275002625,0.0022596159990978426
7.562911033655323e-05,0.002432613310720523
