validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9993969182522691,0.864406779661017,0.864406779661017
0.9993969182522691,0.8709677419354839,0.8709677419354839
0.9993969182522691,0.8925619834710744,0.8925619834710744
0.9993667641648826,0.8620689655172414,0.8620689655172414
0.9991255314657902,0.8440366972477064,0.8440366972477064
0.9993667641648826,0.8983050847457628,0.8983050847457628
0.999336610077496,0.896551724137931,0.896551724137931
0.9993969182522691,0.9152542372881356,0.9152542372881356
0.9995175346018152,0.9180327868852459,0.9180327868852459
0.9994270723396557,0.8907563025210085,0.8907563025210085
0.9995175346018152,0.95,0.95
0.9994270723396557,0.923076923076923,0.923076923076923
0.9993969182522691,0.896551724137931,0.896551724137931
0.9993969182522691,0.9137931034482759,0.9137931034482759
