validation_accuracy,validation_f1
0.9861115080158889,0.5215419501133787
0.9896550738719172,0.597194388777555
0.991741205383934,0.6081632653061225
0.9896550738719172,0.631163708086785
0.9892835709999143,0.5954198473282443
0.9909696224959278,0.6506986027944112
0.9911410853599292,0.6129666011787819
0.9893121481439145,0.5971223021582733
0.9906838510559255,0.6788617886178862
0.9892835709999143,0.6340508806262232
0.9918555139599349,0.6500956022944551
0.9902266167519218,0.6353790613718411
0.9911125082159289,0.6641509433962265
0.990626696767925,0.6429980276134123
0.9911696625039293,0.6731517509727627
0.9917983596719344,0.6769230769230768
0.9918269368159346,0.6963249516441006
0.9913411253679307,0.6680161943319838
0.9903409253279227,0.6536964980544747
0.9908267367759266,0.6495412844036696
0.9911410853599292,0.674373795761079
0.9904552339039236,0.6679245283018868
0.990883891063927,0.6525911708253359
0.990883891063927,0.6785009861932939
0.9914554339439317,0.691511387163561
0.9915125882319321,0.6548323471400395
0.9903123481839226,0.6741154562383613
0.9919126682479353,0.6653225806451613
0.9914840110879318,0.6500956022944551
0.9915125882319321,0.6434108527131782
0.9918269368159346,0.6679920477137177
0.9921698625439374,0.6746987951807228
0.9919412453919355,0.6800804828973843
0.991998399679936,0.6733067729083665
0.991998399679936,0.6772908366533864
0.9920841311119367,0.6866267465069859
0.9923699025519389,0.6947791164658635
0.9921698625439374,0.6852589641434262
0.9922270168319378,0.685370741482966
0.9922555939759381,0.6867469879518071
