validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9995476886892019,0.9256198347107438,0.9256198347107438
0.999607996863975,0.9344262295081968,0.9344262295081968
0.9994873805144288,0.9411764705882352,0.9411764705882352
0.9994873805144288,0.9411764705882352,0.9411764705882352
0.9995175346018152,0.95,0.95
0.9995476886892019,0.9586776859504132,0.9586776859504132
0.9995778427765883,0.9421487603305785,0.9421487603305785
0.9995476886892019,0.9421487603305785,0.9421487603305785
0.9995476886892019,0.9586776859504132,0.9586776859504132
0.9995175346018152,0.95,0.95
0.9994873805144288,0.9421487603305785,0.9421487603305785
0.9994873805144288,0.9421487603305785,0.9421487603305785
0.9995175346018152,0.9508196721311476,0.9508196721311476
0.9995476886892019,0.943089430894309,0.943089430894309
