train_loss_values,validation_loss_values
0.0975475376459125,0.006431261896399188
0.0056403842079608135,0.003534638168110343
0.005012610951037485,0.0028244169274826577
0.0021297582962480134,0.0027934757049065824
0.0029290695460110977,0.002087923479600497
0.0005199089923051792,0.002064904695626782
0.002456112893986046,0.001930440047379472
0.0006970187246666048,0.0019804593823974674
0.0008953442747969722,0.0020739746632071647
0.0001811245691709407,0.0021964777880663696
0.001721967359503008,0.0021437959541789164
0.00035289169201574693,0.002240970619009307
0.003310647784462384,0.0019323200447096476
3.895693507916088e-05,0.0018451874518722827
