Season,Tourney,teamA_id,teamA_name,teamB_id,teamB_name,diff_adj_def_eff,diff_adj_off_eff,diff_def_reb_rate,diff_efg_pct,diff_margin_of_victory,diff_off_reb_rate,diff_power_rating,diff_round_result,diff_seed,diff_strength_of_schedule,diff_tempo,diff_turnover_rate,label
2008,0,112,Memphis,154,Oklahoma,-12.700000000000005,5.700000000000003,-1.7999999999999972,5.0,18.4,6.199999999999996,0.2799999999999999,-30.0,-5.0,2.100999999999999,8.200000000000003,6.0,1
2008,0,204,Texas A&M,154,Oklahoma,1.0999999999999943,28.5,-4.0,12.799999999999995,27.4,9.299999999999995,0.2909999999999999,0.0,3.0,4.119999999999997,-3.9000000000000057,1.1999999999999993,1
2008,0,203,Texas,154,Oklahoma,13.5,45.3,-6.799999999999997,22.5,31.8,-5.100000000000001,0.2909999999999999,-24.0,-4.0,4.1910000000000025,-1.7000000000000028,-6.700000000000001,1
2008,1,103,Louisville,154,Oklahoma,6.399999999999992,13.700000000000005,-3.899999999999992,5.5,7.300000000000001,3.899999999999999,0.1399999999999999,-24.0,-3.0,-2.4470000000000027,1.5,1.2999999999999972,1
2008,0,222,USC,154,Oklahoma,-5.400000000000006,12.799999999999995,-3.0,8.199999999999996,18.2,5.299999999999997,0.2689999999999999,32.0,0.0,0.8999999999999986,-0.6000000000000085,7.0,1
2008,0,88,Kansas,154,Oklahoma,11.299999999999995,41.60000000000001,-4.599999999999994,18.5,30.3,7.5,0.2889999999999999,-31.0,-5.0,11.646999999999998,-0.7000000000000028,-1.2000000000000028,1
2008,0,112,Memphis,39,Connecticut,-18.0,-7.399999999999991,6.5,-2.299999999999997,10.599999999999998,8.599999999999998,0.129,-62.0,-3.0,-2.0020000000000024,0.0,7.300000000000001,1
2008,1,182,San Diego,39,Connecticut,2.0,-8.599999999999994,5.900000000000006,-5.899999999999999,-10.6,7.000000000000004,-0.24,-32.0,9.0,-5.241,-8.400000000000006,6.099999999999998,1
2008,0,68,Gonzaga,39,Connecticut,4.900000000000006,3.799999999999997,4.099999999999994,4.399999999999999,-1.1000000000000014,5.800000000000001,-0.0289999999999999,0.0,3.0,-20.335,-7.1000000000000085,4.699999999999999,1
2008,0,150,Notre Dame,39,Connecticut,-5.299999999999997,0.2999999999999971,7.0,0.0,5.599999999999998,10.099999999999998,0.077,-32.0,1.0,-9.155,-5.6000000000000085,2.099999999999998,1
2008,0,64,Georgetown,39,Connecticut,1.0,19.90000000000001,2.799999999999997,13.800000000000004,18.9,7.800000000000001,0.134,-32.0,-2.0,0.2269999999999967,-10.100000000000009,2.3000000000000007,1
2008,0,232,Villanova,39,Connecticut,5.900000000000006,8.700000000000003,10.0,2.8000000000000043,2.8000000000000007,9.8,0.024,-48.0,8.0,-13.131999999999998,-3.300000000000012,0.8999999999999986,1
2008,0,239,West Virginia,39,Connecticut,-0.0999999999999943,1.7000000000000028,5.799999999999997,2.3999999999999986,1.799999999999999,5.000000000000004,0.025,-48.0,3.0,-7.433999999999997,-7.300000000000011,2.6999999999999997,1
2008,0,112,Memphis,13,Austin Peay,-26.40000000000001,6.300000000000011,-0.5,-2.799999999999997,32.7,6.799999999999997,0.699,-62.0,-14.0,37.75,9.600000000000009,6.400000000000002,1
2008,0,230,Vanderbilt,13,Austin Peay,-0.5,27.30000000000001,-4.700000000000003,11.5,27.8,0.3999999999999986,0.622,0.0,-11.0,17.176000000000002,6.700000000000003,-0.8000000000000007,1
2008,1,203,Texas,13,Austin Peay,-0.2000000000000028,45.900000000000006,-5.5,14.700000000000005,46.1,-4.5,0.71,-56.0,-13.0,39.84,-0.2999999999999971,-6.299999999999999,1
2008,0,112,Memphis,222,USC,-7.299999999999997,-7.099999999999994,1.2000000000000028,-3.199999999999996,0.1999999999999993,0.8999999999999986,0.011,-62.0,-5.0,1.2010000000000003,8.800000000000011,-1.0,1
2008,0,196,Stanford,222,USC,10.799999999999995,21.599999999999994,9.200000000000005,-3.0999999999999943,10.8,11.4,0.022,-48.0,-3.0,12.240000000000002,4.900000000000006,-14.000000000000002,1
2008,0,216,UCLA,222,USC,4.400000000000006,6.200000000000003,1.7000000000000028,-6.5,1.8000000000000007,8.5,0.002,-60.0,-5.0,2.2550000000000026,-0.8999999999999915,-7.100000000000001,1
2008,0,88,Kansas,222,USC,16.700000000000003,28.80000000000001,-1.5999999999999943,10.300000000000004,12.099999999999998,2.200000000000003,0.02,-63.0,-5.0,10.747,-0.0999999999999943,-8.200000000000003,1
2008,0,8,Arizona,222,USC,18.60000000000001,15.400000000000006,-7.799999999999997,3.9000000000000057,-3.1999999999999997,-10.9,-0.0529999999999999,0.0,4.0,-11.046,2.200000000000003,-13.500000000000002,1
2008,0,112,Memphis,64,Georgetown,-19.0,-27.3,3.700000000000003,-16.1,-8.300000000000004,0.7999999999999972,-0.005,-30.0,-1.0,-2.228999999999999,10.100000000000009,5.0,1
2008,0,103,Louisville,64,Georgetown,0.0999999999999943,-19.3,1.6000000000000083,-15.6,-19.4,-1.5,-0.145,-24.0,1.0,-6.777000000000001,3.4000000000000057,0.2999999999999971,1
2008,0,163,Pittsburgh,64,Georgetown,-5.099999999999994,-9.0,-1.6999999999999955,-14.300000000000004,-3.900000000000002,2.6000000000000014,-0.006,0.0,2.0,9.161,1.9000000000000057,-0.3000000000000007,1
2008,1,43,Davidson,64,Georgetown,-8.400000000000006,-4.1000000000000085,8.5,-4.800000000000004,4.299999999999997,3.6000000000000014,0.015,-24.0,8.0,-36.639,0.7999999999999972,-6.000000000000002,1
