validation_accuracy,validation_f1_weighted,validation_f1_macro
0.99134951260996,0.46919431279620855,0.46919431279620855
0.9908008559044605,0.5298329355608592,0.5298329355608592
0.9913860897236599,0.5763546798029557,0.5763546798029557
0.9914409553942098,0.5891089108910892,0.5891089108910892
0.992135920554509,0.6271604938271604,0.6271604938271604
0.9920810548839591,0.6582278481012659,0.6582278481012659
0.9919530349860093,0.6516290726817043,0.6516290726817043
0.9926297115894585,0.690909090909091,0.690909090909091
0.9925016916915086,0.6666666666666666,0.6666666666666666
0.9927760200442584,0.693121693121693,0.693121693121693
0.9928308857148083,0.6860158311345645,0.6860158311345645
0.9929406170559081,0.6790450928381963,0.6790450928381963
0.993013771283308,0.6923076923076923,0.6923076923076923
0.993032059840158,0.6684782608695653,0.6684782608695653
