train_loss_values,validation_loss_values
0.3920307907582636,2.0405775132504376
0.07624798652987068,0.9900099887427959
0.05372515246499061,0.0710827983645934
0.026286170514277677,0.05249830229414246
0.024261308820811945,0.04180706323545151
0.011574673922716227,0.04157012679239746
0.010597136813716556,0.03933459572296918
0.0050548198583531545,0.04022484258398022
0.005086673618165345,0.04059537408556935
0.0023024110490745065,0.041590166093059946
0.003006429438615589,0.04025621245066511
0.001074602051459188,0.04267813534620886
0.0016785571998990242,0.042623971132612
0.0006358872295248364,0.04387325004844653
