validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9913858626805169,0.5702127659574469,0.5702127659574469
0.9923655096697914,0.6436781609195401,0.6436781609195401
0.9931086901444135,0.7014925373134329,0.7014925373134329
0.9930917996790811,0.7336683417085427,0.7336683417085427
0.9937674182923739,0.7757255936675462,0.7757255936675462
0.9934464994510599,0.7751937984496123,0.7751937984496123
0.9930580187484165,0.756892230576441,0.756892230576441
0.993294485263069,0.7989417989417991,0.7989417989417991
0.993345156659066,0.7135922330097086,0.7135922330097086
0.9934971708470568,0.768041237113402,0.768041237113402
