validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9888430685798215,0.5876777251184834,0.5876777251184834
0.9896904304598351,0.6265060240963854,0.6265060240963854
0.9909049824878545,0.725,0.725
0.9911591910518586,0.7582697201017812,0.7582697201017812
0.9911591910518586,0.7696078431372549,0.7696078431372549
0.9913851542198622,0.7808564231738037,0.7808564231738037
0.9907355101118518,0.7804878048780487,0.7804878048780487
0.9913569088238617,0.7989949748743719,0.7989949748743719
0.9917805897638685,0.8125,0.8125
0.9919218167438707,0.8050632911392406,0.8050632911392406
0.991187436447859,0.7804878048780487,0.7804878048780487
0.9916111173878658,0.8131313131313131,0.8131313131313131
0.9914981358038639,0.8153846153846153,0.8153846153846153
0.9915263811998645,0.8030303030303031,0.8030303030303031
