train_loss_values,validation_loss_values
0.23306058908919966,0.04687385633207503
0.023585770993253985,0.05516915804665504
0.018411008586250926,0.05990732934432427
0.008847049906058979,0.06443878112478077
0.007684839813653113,0.06930507960677543
0.0039204019832003775,0.06829434143564454
0.0039755038287837335,0.07308078438582429
0.0018282946299200233,0.07594436835599729
0.002326439739160132,0.07489742419137325
0.0009935230020872601,0.07452818868006778
0.0014052995663574198,0.06926969152259103
0.0006894485516356595,0.07443299149374318
0.0009922334246060265,0.07358634446497737
0.0004665247745007214,0.0786046091710866
