validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9902887763126612,0.542528735632184,0.542528735632184
0.99129464693941,0.617283950617284,0.617283950617284
0.9918433036449094,0.6169665809768637,0.6169665809768637
0.9924285374641088,0.636842105263158,0.636842105263158
0.9928674628285082,0.6594594594594594,0.6594594594594594
0.9928491742716582,0.6595174262734586,0.6595174262734586
0.9925565573620586,0.6345177664974618,0.6345177664974618
0.9929040399422081,0.6577540106951871,0.6577540106951871
0.9925931344757585,0.6194225721784777,0.6194225721784777
0.9928674628285082,0.6432432432432432,0.6432432432432432
0.9928491742716582,0.6502732240437159,0.6502732240437159
0.9929040399422081,0.6612903225806452,0.6612903225806452
0.9928125971579582,0.6630727762803235,0.6630727762803235
0.9929223284990581,0.6684636118598383,0.6684636118598383
