train_loss_values,validation_loss_values
0.31738179709279835,0.5959934997795657
0.054477640562826245,0.08364676517455584
0.039376682453512786,0.036535632322986865
0.021451076455440837,0.03533168389450028
0.01875699335478603,0.03836764993601802
0.009353630485553516,0.03811101227587311
0.00929887969670241,0.03867303912689253
0.004506760547362931,0.03921049270188219
0.004645598625066274,0.0404868758803125
0.0019459320501325277,0.04206194395622085
0.0027513667182832266,0.04176829386832734
0.001210588457040086,0.04232345824898816
0.0015771458989117244,0.044157583586804154
0.0005688616351431252,0.04556353445237123
